algo,n_clusters_found,n_clusters_db_score_is_min,n_clusters_ch_score_is_max,n_clusters_silhouette_score_is_max,silhouette_score,hopkins_statistic,umap_n_neighbors,umap_min_dist,umap_metric,umap_n_components,trustworthiness,eps,dbscan_min_samples,dbscan_metric,validity_index,noise_ratio,cluster_labels
dbscan,2,,,,,0.08096146089983365,50,0.0,cosine,2,0.893050008244917,0.1000991528006496,5.0,cosine,0.9074445569880059,0.0,[0 0 0 ... 0 0 0]
dbscan,5,,,,,0.08305082503668063,50,0.0,euclidean,2,0.9994351894632373,0.17174092738425195,5.0,euclidean,-0.313180872122108,0.0,[0 0 0 ... 2 0 4]
dbscan,12,,,,,0.07189898970598273,100,0.0,cosine,2,0.8951066140779734,0.11937085477864455,5.0,euclidean,0.5846677383675505,0.006906178825949599,[ 0  6  0 ... -1  0  5]
dbscan,5,,,,,0.07013626861716737,100,0.0,euclidean,2,0.9992290483448428,0.14503390554231638,5.0,euclidean,-0.317922967238405,0.0,[0 0 0 ... 2 0 3]
dbscan,2,,,,,0.05839232797330654,250,0.0,cosine,2,0.8973908318986619,0.1016695606406691,5.0,cosine,0.9478449896497944,0.0,[0 1 0 ... 1 0 1]
dbscan,70,,,,,0.0616162333174791,250,0.0,euclidean,2,0.9985907715561855,0.07467262378289345,5.0,euclidean,-0.4422056285598386,0.0016898097127323489,[ 0  1  2 ...  6  5 21]
dbscan,3,,,,,0.05865752520020976,500,0.0,cosine,2,0.8756792557137497,0.1356325394524482,5.0,cosine,0.9913497866290429,0.0,[0 1 0 ... 1 0 1]
dbscan,119,,,,,0.056533029015206196,500,0.0,euclidean,2,0.9967339088066269,0.06675789776167168,5.0,euclidean,-0.22790731046046564,0.001763279700242451,[ 0  1  2 ...  6  5 32]
dbscan,4,,,,,0.06338987145357075,1000,0.0,cosine,2,0.8655905918024329,0.12707750626333533,5.0,cosine,0.9996531401835571,0.0,[0 1 0 ... 1 0 1]
dbscan,33,,,,,0.05322681992326175,1000,0.0,euclidean,2,0.9903204326423433,0.07393493690808815,5.0,euclidean,-0.5127010252675601,0.00022040996253030638,[ 0  1  2 ...  5  2 18]
dbscan,2,,,,,0.0531109981152839,50,0.0,cosine,3,0.8981005839492093,0.14919588278659981,4.0,cosine,0.9379094976886077,0.0,[0 0 0 ... 0 0 0]
dbscan,4,,,,,0.021387570449237437,50,0.0,euclidean,3,0.9999869087669258,0.11362885750086867,5.0,chebyshev,0.2134578626325106,0.0,[0 0 0 ... 2 0 3]
dbscan,5,,,,,0.044121050824282124,100,0.0,cosine,3,0.8985047661379013,0.2905699207644593,5.0,chebyshev,0.8846329306425474,0.0006612298875909191,[0 1 0 ... 1 0 1]
dbscan,5,,,,,0.019115042809989387,100,0.0,euclidean,3,0.9999828700661861,0.13764269421167544,5.0,euclidean,0.10349916356645303,0.0,[0 0 0 ... 2 0 4]
dbscan,3,,,,,0.02684548843736292,250,0.0,cosine,3,0.9039622058016666,0.24173808625398152,5.0,cosine,0.998973580284145,0.0,[0 1 0 ... 1 0 1]
dbscan,99,,,,,0.016829977942660827,250,0.0,euclidean,3,0.9999453281376943,0.07116869557726999,5.0,euclidean,-0.056695613708867436,0.0008816398501212255,[ 0  1  2 ...  5  2 25]
dbscan,5,,,,,0.03556065368991657,500,0.0,cosine,3,0.8807243540463198,0.3460329783126352,5.0,euclidean,0.8646206877240633,0.0016898097127323489,[0 1 0 ... 1 0 1]
dbscan,2,,,,,0.015516449667064737,500,0.0,euclidean,3,0.9997423129294115,0.1085995332240181,5.0,euclidean,0.22020349115012325,0.0,[0 0 0 ... 1 0 1]
dbscan,3,,,,,0.03573682684106513,1000,0.0,cosine,3,0.8511319107928813,0.3063947764062676,5.0,cosine,0.9815287475995369,0.0,[0 1 0 ... 1 0 1]
dbscan,2,,,,,0.014329780329477805,1000,0.0,euclidean,3,0.9992212079222456,0.09960316784769918,5.0,chebyshev,0.0014711304962621574,0.0,[0 0 0 ... 1 0 1]
dbscan,5,,,,,0.03793164948987385,50,0.0,cosine,4,0.8990885939897512,0.3118922136228918,3.0,euclidean,0.9017497505859979,0.00036734993755051064,[0 1 0 ... 1 0 1]
dbscan,5,,,,,0.010781043281379491,50,0.0,euclidean,4,0.9999868045503278,0.12411293589282581,5.0,euclidean,0.4669755763533609,0.0,[0 0 0 ... 2 0 4]
dbscan,4,,,,,0.027733026855550708,100,0.0,cosine,4,0.9002413746579894,0.23972439922749403,5.0,cosine,0.9132519574915581,0.0,[0 1 0 ... 1 0 1]
dbscan,4,,,,,0.009027554272039379,100,0.0,euclidean,4,0.9999822020381209,0.13071244139749655,5.0,euclidean,0.44861691098519046,0.0,[0 0 0 ... 2 0 3]
dbscan,4,,,,,0.021191440109268586,250,0.0,cosine,4,0.9041119799291241,0.27904123448446755,5.0,cosine,0.9903680289706714,0.0,[0 1 0 ... 1 0 1]
dbscan,2,,,,,0.00795152898987547,250,0.0,euclidean,4,0.999949654793058,0.10807025812198764,5.0,chebyshev,0.7397638277086991,0.0,[0 0 0 ... 1 0 1]
dbscan,5,,,,,0.01852091904809092,500,0.0,cosine,4,0.884908586405534,0.5836740082920376,5.0,euclidean,0.8662670782232207,0.0008081698626111233,[0 1 0 ... 1 0 1]
dbscan,2,,,,,0.007323311045155532,500,0.0,euclidean,4,0.9998590028417698,0.09751975413516951,5.0,chebyshev,0.692418265677694,0.0,[0 0 0 ... 1 0 1]
dbscan,3,,,,,0.02033315228448357,1000,0.0,cosine,4,0.8577589856447361,0.2620721659586169,5.0,cosine,0.9739509999875486,0.0,[0 1 0 ... 1 0 1]
dbscan,2,,,,,0.006925806647575628,1000,0.0,euclidean,4,0.9996951315290681,0.08875234305313504,5.0,chebyshev,0.6597955124507685,0.0,[0 0 0 ... 1 0 1]
dbscan,6,,,,,0.027634821957523075,50,0.0,cosine,5,0.8993390634929879,0.30400133796734513,3.0,chebyshev,0.8602699850529492,7.346998751010212e-05,[0 1 0 ... 1 0 5]
dbscan,4,,,,,0.006568036588411132,50,0.0,euclidean,5,0.9999855832620719,0.14633058554441442,5.0,euclidean,0.6969368254745201,0.0,[0 0 0 ... 2 0 3]
