algo,n_clusters_found,n_clusters_db_score_is_min,n_clusters_ch_score_is_max,n_clusters_silhouette_score_is_max,silhouette_score,hopkins_statistic,umap_n_neighbors,umap_min_dist,umap_metric,umap_n_components,trustworthiness,eps,dbscan_min_samples,dbscan_metric,validity_index,noise_ratio,cluster_labels
dbscan,5,,,,,0.018891788836524863,100,0.0,cosine,5,0.8994030147191243,0.4264317834504693,4.0,chebyshev,0.9081644632194446,7.346998751010212e-05,[0 1 0 ... 1 0 1]
dbscan,4,,,,,0.005675001034685075,100,0.0,euclidean,5,0.9999808082343239,0.10505152149517608,5.0,chebyshev,0.5807190280848904,0.0,[0 0 0 ... 2 0 3]
dbscan,5,,,,,0.013738859350030877,250,0.0,cosine,5,0.9036309422481351,0.5215308518932238,5.0,euclidean,0.8732764775738863,0.00036734993755051064,[0 1 0 ... 1 0 1]
dbscan,3,,,,,0.005015603914628562,250,0.0,euclidean,5,0.9999633100690956,0.11082292698251943,5.0,euclidean,0.36720509395271844,0.0,[0 0 0 ... 2 0 1]
dbscan,4,,,,,0.016843895532952968,500,0.0,cosine,5,0.884166516337549,0.37012412921265975,5.0,cosine,0.9987081464459185,0.0,[0 1 0 ... 1 0 1]
dbscan,2,,,,,0.0045849431007202925,500,0.0,euclidean,5,0.9998882780881502,0.10405368161551388,5.0,chebyshev,0.6546083235289444,0.0,[0 0 0 ... 1 0 1]
dbscan,3,,,,,0.012893199582062384,1000,0.0,cosine,5,0.8472130715147018,0.272166876821063,5.0,cosine,0.9536842331059862,0.0,[0 1 0 ... 1 0 1]
dbscan,4,,,,,0.004445325268303368,1000,0.0,euclidean,5,0.9998778635121764,0.08314774855274,5.0,euclidean,0.37669527133651215,0.0,[0 0 0 ... 2 0 1]
dbscan,4,,,,,0.01909476581925416,50,0.0,cosine,6,0.8993904361964262,0.22506329207260606,4.0,cosine,0.9413505517217327,0.0,[0 1 0 ... 1 0 1]
dbscan,4,,,,,0.004823490367445867,50,0.0,euclidean,6,0.9999858585675845,0.11273614935505231,5.0,chebyshev,0.6409214186900505,0.0,[0 0 0 ... 2 0 3]
dbscan,4,,,,,0.013480771051211371,100,0.0,cosine,6,0.9004464262519408,0.27884117893788374,5.0,cosine,0.9867052001781115,0.0,[0 1 0 ... 1 0 1]
dbscan,4,,,,,0.0041942219928897675,100,0.0,euclidean,6,0.9999814748432593,0.10568541161185349,5.0,chebyshev,0.7044804093105688,0.0,[0 0 0 ... 2 0 3]
dbscan,5,,,,,0.012368341727587502,250,0.0,cosine,6,0.9033914820793251,0.49865147405984617,5.0,chebyshev,0.8801072421034617,0.0005877599000808169,[0 1 0 ... 1 0 1]
dbscan,3,,,,,0.00370797145285805,250,0.0,euclidean,6,0.9999603276388972,0.11858398168962493,5.0,euclidean,0.5542443337082292,0.0,[0 0 0 ... 2 0 1]
dbscan,4,,,,,0.014711684965811937,500,0.0,cosine,6,0.8841231225138306,0.3567521069665827,5.0,cosine,0.9981120416684837,0.0,[0 1 0 ... 1 0 1]
dbscan,2,,,,,0.0035331459772637813,500,0.0,euclidean,6,0.9999112053745057,0.10499478305109941,5.0,chebyshev,0.635706685286514,0.0,[0 0 0 ... 1 0 1]
dbscan,4,,,,,0.009782524281112263,1000,0.0,cosine,6,0.8439387073573129,0.5432291221041475,5.0,chebyshev,0.9632801614216652,0.00022040996253030638,[0 1 0 ... 1 0 1]
dbscan,2,,,,,0.003441419379018216,1000,0.0,euclidean,6,0.9998975489188526,0.09936317558397854,4.0,euclidean,0.7597374619213992,7.346998751010212e-05,[0 0 0 ... 1 0 1]
dbscan,3,,,,,0.017342483105245034,50,0.0,cosine,7,0.8989599655223269,0.21523255002974306,3.0,cosine,0.9282813472621673,0.0,[0 1 0 ... 1 0 1]
dbscan,4,,,,,0.003698055733621701,50,0.0,euclidean,7,0.9999856261428595,0.13742057922693549,5.0,euclidean,0.6026319221036831,0.0,[0 0 0 ... 2 0 3]
dbscan,5,,,,,0.010688093135570356,100,0.0,cosine,7,0.9011722877866105,0.4093548009129824,4.0,chebyshev,0.9277313262600867,0.0,[0 1 0 ... 1 0 1]
dbscan,4,,,,,0.003334883604723954,100,0.0,euclidean,7,0.9999848650352018,0.11934095566223281,5.0,euclidean,0.6100783162911588,0.0,[0 0 0 ... 2 0 3]
dbscan,4,,,,,0.009012507477445768,250,0.0,cosine,7,0.902980162256848,0.2825854752716626,5.0,cosine,0.9845175421512209,0.0,[0 1 0 ... 1 0 1]
k_means,8,15.0,15.0,15.0,0.5105370879173279,0.0029897950886834793,250,0.0,euclidean,7,0.9999786827737437,,,,,,[ 5 11 13 ...  8 13  9]
dbscan,4,,,,,0.010877119031700555,500,0.0,cosine,7,0.8839264332712459,0.32759021525972465,5.0,cosine,0.990113573194426,0.0,[0 1 0 ... 1 0 1]
k_means,8,15.0,15.0,15.0,0.5136255621910095,0.002894595726594104,500,0.0,euclidean,7,0.9999638514293403,,,,,,[ 2 10 11 ... 13 11  0]
dbscan,4,,,,,0.009410355535408211,1000,0.0,cosine,7,0.8472502738759783,0.2653867857714626,5.0,cosine,0.9998688356000708,0.0,[0 1 0 ... 1 0 1]
k_means,8,15.0,15.0,15.0,0.5167887806892395,0.002807245746021458,1000,0.0,euclidean,7,0.9999313668316618,,,,,,[12  7  5 ... 10  5 13]
dbscan,3,,,,,0.015278372888031685,50,0.0,cosine,8,0.8988734465311765,0.20764329699592143,5.0,cosine,0.8981024275824722,0.0,[0 1 0 ... 1 0 1]
dbscan,4,,,,,0.003048160944093011,50,0.0,euclidean,8,0.9999856950777967,0.132511648647636,5.0,euclidean,0.688170411431382,0.0,[0 0 0 ... 2 0 3]
dbscan,5,,,,,0.00963599806927345,100,0.0,cosine,8,0.9013354992310759,0.39056581289543085,5.0,chebyshev,0.9283135544080722,0.00014693997502020423,[0 1 0 ... 1 0 1]
dbscan,2,,,,,0.002782533801695725,100,0.0,euclidean,8,0.9999871074786227,0.12847062631705145,5.0,chebyshev,0.8357226196821922,0.0,[0 0 0 ... 1 0 1]
dbscan,4,,,,,0.010715030062902847,250,0.0,cosine,8,0.904073173431988,0.3373424568287831,4.0,cosine,0.984315369284518,0.0,[0 1 0 ... 1 0 1]
dbscan,3,,,,,0.002672621811544844,250,0.0,euclidean,8,0.9999809457526072,0.08373048792277524,5.0,chebyshev,0.5067700023727475,0.0,[0 0 0 ... 2 0 1]
dbscan,4,,,,,0.010239359651099416,500,0.0,cosine,8,0.8831351641850844,0.4200754061893615,5.0,cosine,0.9903191046690152,0.0,[0 1 0 ... 1 0 1]
dbscan,3,,,,,0.0026333681044570178,500,0.0,euclidean,8,0.9999788005508812,0.11138865190725805,5.0,euclidean,0.5379647925988382,0.0,[0 0 0 ... 2 0 2]
dbscan,4,,,,,0.009970730076281634,1000,0.0,cosine,8,0.8454965098449616,0.29382347624626354,5.0,cosine,0.9997873503351963,0.0,[0 1 0 ... 1 0 1]
k_means,9,15.0,15.0,15.0,0.5150344967842102,0.0025787904762104696,1000,0.0,euclidean,8,0.9999217594895091,,,,,,[ 2  5 11 ...  8  2 14]
